generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
1,376.2,152,,,,,,,1,74,193,,
0,377,,38,77,77,77,,,0.5,74,193,,
1,377.1,77,,,,,97,,,74,193,,
1,377.2,77,109,160,160,160,,,1,74,193,,
2,377.21,160,193,,,,,,1,74,193,,
2,377.22,160,193,,,,,,1,74,193,,
0,378,21,48,92,92,92,,,,74,193,,
1,378.1,92,,,,,132,,,74,193,,
1,378.2,92,,,,,133,,,74,193,,
0,379,29,52,89,89,89,,,,74,193,,
1,379.1,89,,,,,105,,,74,193,,
1,379.2,89,,,,,109,,,74,193,,
0,380,30,55,99,99,99,,,,74,193,,
1,380.1,99,,,,,119,,,74,193,,
1,380.2,99,,,,,119,,,74,193,,
0,381,35,65,109,109,109,,,,74,193,,
1,381.1,109,,,,,127,,,74,193,,
1,381.2,109,,,,,127,,,74,193,,
0,382,19,38,84,84,84,,,,74,193,,
1,382.1,84,,,,,96,,,74,193,,
1,382.2,84,,,,,96,,,74,193,,
0,394,,62,101,101,101,,,1,74,193,28.8 m,18
1,394.1,101,121,170,170,170,,,1,74,193,,
1,394.2,101,122,170,170,170,,,1,74,193,,
2,394.11,170,,,,,,,1,74,193,,
2,394.12,170,,,,,187,,1,74,193,,
2,394.21,170,,,,,,,1,74,193,,
2,394.22,170,,,,,,179,1,74,193,,
0,395,40,64,103,103,103,,,1,74,193,,
1,395.1,103,126,,,,,,1,74,193,,
1,395.2,103,127,169,169,169,,,1,74,193,,
2,395.21,169,,,,,,,1,74,193,,
2,395.22,169,,,,,,,1,74,193,,
0,396,,36,,,,92,,,74,193,,
0,397,46,73,,,,94,,,74,193,,
0,398,46,72,,,,92,,,74,193,,
0,399,,53,109,109,109,,,,74,193,,
1,399.1,109,,,,,144,,,74,193,,
1,399.2,109,,,,,160,,,74,193,,
0,400,,64,107,107,107,,,0.5,74,193,,
1,400.1,107,129,,,,135,,,74,193,,
1,400.2,107,,,,,172,,1,74,193,,
0,401,,48,85,85,85,,,0.5,74,193,,
1,401.1,85,,,,,106,,,74,193,,
1,401.2,85,110,,,,,,1,74,193,,
0,402,22,56,92,92,92,,,1,74,193,,
1,402.1,92,111,157,157,157,,,1,74,193,,
